code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4601826	1748587	1725583	1240500
DE-BE	7584094	2831211	2791420	2091780
DE-BUND	525893	201522	194229	138286
DE-BW	21955253	8176067	8144029	6116311
DE-BY	25971988	9683849	9712388	7080815
DE-HB	1584426	610667	598293	423606
DE-HE	12565306	4807022	4632307	3377848
DE-HH	3911990	1510883	1493632	1015629
DE-MV	3174469	1191214	1181750	867515
DE-NI	16772828	6245460	6130073	4831750
DE-NW	38002651	14347416	13994096	10479712
DE-RP	8342121	3160555	3039616	2309051
DE-SH	6397997	2331408	2317981	1883526
DE-SL	2183003	808290	800394	623846
DE-SN	6964357	2638834	2582223	1844893
DE-ST	4142028	1561346	1572992	1115851
DE-TH	3897984	1479907	1468896	1043612
