code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3062285	1592350	1533744
DE-BE	5040148	2538612	2452080
DE-BUND	371770	193593	185608
DE-BW	14464005	7402551	7209985
DE-BY	17075351	8730410	8493661
DE-HB	1066819	551794	532435
DE-HE	8420904	4355049	4147633
DE-HH	2662409	1375003	1332566
DE-MV	2102738	1082510	1049545
DE-NI	10984870	5752202	5485575
DE-NW	25553833	13238749	12582298
DE-RP	5593628	2909681	2730478
DE-SH	4213383	2153465	2081519
DE-SL	1444255	745033	720431
DE-SN	4654360	2393310	2302377
DE-ST	2730452	1410711	1375179
DE-TH	2581701	1317969	1287164
