code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2907070	1540820	1455605
DE-BE	4711267	2454617	2325959
DE-BUND	368371	192450	183932
DE-BW	13777899	7195605	6895804
DE-BY	16130758	8436070	8053681
DE-HB	1004089	532318	504087
DE-HE	8008063	4230685	3952701
DE-HH	2486436	1314245	1245281
DE-MV	1998260	1050140	998363
DE-NI	10498322	5616289	5259921
DE-NW	24279044	12913679	11964853
DE-RP	5309679	2830230	2605303
DE-SH	4000887	2102770	1991737
DE-SL	1379140	724969	690513
DE-SN	4437514	2324145	2196137
DE-ST	2604515	1370848	1315381
DE-TH	2448352	1274819	1229753
