code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4541014	1743767	1710560	1199339
DE-BE	7482289	2823267	2767093	2022006
DE-BUND	523108	201371	193811	136066
DE-BW	21725128	8154359	8074718	5976142
DE-BY	25652726	9657778	9631255	6868437
DE-HB	1565647	608694	593197	411824
DE-HE	12398538	4791001	4590369	3268928
DE-HH	3855419	1506558	1479713	977111
DE-MV	3142522	1188469	1174757	845270
DE-NI	16549777	6223867	6072171	4687457
DE-NW	37519549	14305911	13879851	10150977
DE-RP	8237213	3151547	3012392	2240311
DE-SH	6292215	2324204	2295412	1807437
DE-SL	2159861	806469	793822	609003
DE-SN	6866136	2630605	2558951	1778074
DE-ST	4079394	1556244	1558771	1072470
DE-TH	3848416	1475165	1456155	1011391
