code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11256507	6454593	5070169
DE-BY	13037529	7563994	5762990
DE-BE	3735681	2154165	1660767
DE-BB	2380840	1378767	1073190
DE-HB	787209	467592	344433
DE-HH	1876894	1111589	816246
DE-HE	6390996	3702539	2842462
DE-MV	1659992	939088	759021
DE-NI	8233780	4974939	3538949
DE-NW	19499567	11297172	8754673
DE-RP	4270237	2491295	1886799
DE-SL	1109325	641295	494831
DE-SN	3730757	2065466	1734664
DE-ST	2132527	1221244	976689
DE-SH	3131297	1831266	1386772
DE-TH	2062716	1156761	948234
