code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4557481	1745116	1714720	1210347
DE-BE	7516949	2825884	2775367	2045821
DE-BUND	523588	201395	193872	136461
DE-BW	21801904	8161935	8099715	6020780
DE-BY	25754036	9666892	9657441	6934582
DE-HB	1571296	609278	594635	415469
DE-HE	12451747	4797002	4603596	3302972
DE-HH	3873357	1508228	1485105	988094
DE-MV	3152123	1189376	1176696	852031
DE-NI	16613945	6230886	6089059	4727856
DE-NW	37685757	14321511	13920494	10261385
DE-RP	8267577	3154636	3021473	2258522
DE-SH	6325327	2327128	2302831	1830221
DE-SL	2167535	807115	796027	613868
DE-SN	6897196	2633326	2566652	1798763
DE-ST	4102788	1558346	1564201	1088369
DE-TH	3864070	1476708	1460038	1021665
