code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5967340	4421503	1572399
DE-BY	7217388	5378846	1856155
DE-BE	1956520	1398502	563669
DE-BB	1264342	894629	371956
DE-HB	404559	286284	123529
DE-HH	971596	710789	262288
DE-HE	3350565	2551754	800211
DE-MV	887329	673227	217510
DE-NI	4283022	3301380	1009906
DE-NW	10059958	7687589	2381041
DE-RP	2223174	1582741	640439
DE-SL	598830	436114	162750
DE-SN	2171060	1435753	742201
DE-ST	1136952	841500	300343
DE-SH	1622158	1135938	496490
DE-TH	1168844	800250	368740
