code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4835303	1761278	1645048	1333347
DE-BE	8108083	2909356	2766246	2237411
DE-BUND	534080	201904	189465	141990
DE-BW	23130744	8345945	7935024	6406821
DE-BY	27334004	9846622	9527426	7460764
DE-HB	1697219	617541	577207	440491
DE-HE	13360830	4884963	4533139	3600099
DE-HH	4356192	1600247	1489360	1139345
DE-MV	3390234	1212256	1155470	931367
DE-NI	18092652	6367502	5902123	5156638
DE-NW	40941129	14620672	13612218	11186500
DE-RP	8886390	3212025	2958789	2451633
DE-SH	6963821	2353201	2248687	2124463
DE-SL	2314134	818886	771126	656965
DE-SN	7284432	2670093	2544812	1984104
DE-ST	4423188	1609152	1529627	1207813
DE-TH	4085804	1499574	1421978	1107583
