code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2989967	1571106	1501154
DE-BE	4854530	2494605	2388402
DE-BUND	369904	193021	184771
DE-BW	14087978	7304249	7041841
DE-BY	16520535	8578383	8256600
DE-HB	1031737	542543	518285
DE-HE	8209017	4299854	4056486
DE-HH	2564669	1345118	1288599
DE-MV	2040875	1064737	1022301
DE-NI	10716054	5692677	5382231
DE-NW	24928493	13096007	12320155
DE-RP	5460704	2878131	2674400
DE-SH	4100734	2128210	2042691
DE-SL	1409157	735600	706209
DE-SN	4536825	2359720	2249079
DE-ST	2663624	1391896	1344436
DE-TH	2502733	1294658	1256600
