code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4865995	1720823	1629442	1394954
DE-BE	8194067	2889258	2754212	2299958
DE-BUND	535227	201943	189529	142602
DE-BW	23659924	8396853	7994061	6731894
DE-BY	27806285	9894374	9585928	7697449
DE-HB	1728754	619805	579934	448772
DE-HE	13721615	4925643	4569393	3787040
DE-HH	4475344	1604009	1497775	1213971
DE-MV	3447952	1217254	1160270	957151
DE-NI	18482426	6394815	5937701	5320585
DE-NW	41841629	14637757	13660634	11674902
DE-RP	9120028	3236784	2979718	2582835
DE-SH	7063967	2353585	2249826	2030488
DE-SL	2352752	822170	774305	675925
DE-SN	7351969	2676422	2550933	2014049
DE-ST	4497260	1617905	1533450	1246049
DE-TH	4136216	1506606	1429427	1128209
