code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4685715	1755748	1744074	1298901
DE-BE	7696083	2843246	2817927	2165515
DE-BUND	530418	201971	194907	141684
DE-BW	22239400	8206146	8221868	6293344
DE-BY	26343702	9719043	9809087	7321061
DE-HB	1607028	613690	605264	436322
DE-HE	12774160	4826273	4685017	3515082
DE-HH	4063550	1537959	1535193	1099159
DE-MV	3233013	1196661	1196100	906386
DE-NI	17073623	6274798	6203913	5029989
DE-NW	38628582	14405620	14132412	10911113
DE-RP	8476629	3176817	3073606	2393805
DE-SH	6629110	2340978	2346915	2076339
DE-SL	2214241	810962	808287	644585
DE-SN	7088499	2650364	2612036	1927780
DE-ST	4222887	1568009	1592524	1170556
DE-TH	3965716	1487370	1486642	1086326
