code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3000302	1574600	1506232
DE-BE	4889912	2504037	2401951
DE-BUND	370149	193114	184890
DE-BW	14148443	7321383	7071999
DE-BY	16619221	8609759	8304130
DE-HB	1038494	545133	521546
DE-HE	8243881	4310418	4072967
DE-HH	2579419	1350443	1295794
DE-MV	2051794	1068081	1028300
DE-NI	10764170	5706352	5405095
DE-NW	25042248	13126863	12374677
DE-RP	5483685	2884454	2685061
DE-SH	4116710	2132320	2048323
DE-SL	1417157	738107	710009
DE-SN	4562326	2367544	2262275
DE-ST	2676487	1395829	1350506
DE-TH	2517374	1299673	1263102
