code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	7378840	5043770	2450020
DE-BY	8758537	5887137	2988266
DE-BE	2467581	1703976	800831
DE-BB	1630880	1101150	563273
DE-HB	505279	343575	175113
DE-HH	1195592	808973	408494
DE-HE	4110789	2900652	1263349
DE-MV	1139480	768830	387504
DE-NI	5347857	3771589	1717088
DE-NW	12758038	8805252	4193619
DE-RP	2753695	1851386	941484
DE-SL	745918	490009	265556
DE-SN	2662713	1687997	1012261
DE-ST	1451726	987279	495627
DE-SH	2071383	1405772	702581
DE-TH	1437349	954062	501478
