code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3268670	1622349	1564990
DE-BE	5453026	2614260	2522813
DE-BUND	381233	194368	186766
DE-BW	15319462	7556580	7362255
DE-BY	18440688	8981463	8721228
DE-HB	1134626	561012	543028
DE-HE	8936149	4447562	4235588
DE-HH	2832579	1406456	1368976
DE-MV	2248788	1107251	1072539
DE-NI	11717886	5845155	5605752
DE-NW	27181414	13432553	12827731
DE-RP	5916638	2951939	2783143
DE-SH	4450729	2184404	2111603
DE-SL	1547869	759019	734692
DE-SN	4967060	2440690	2348657
DE-ST	2925010	1444498	1409635
DE-TH	2802475	1352071	1318365
