code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3097616	1598608	1543063
DE-BE	5124720	2555663	2473732
DE-BUND	372670	193816	186054
DE-BW	14584212	7432195	7245208
DE-BY	17281897	8778739	8551987
DE-HB	1080615	553631	535955
DE-HE	8518496	4373903	4173184
DE-HH	2697989	1381862	1342898
DE-MV	2126045	1087149	1055419
DE-NI	11134597	5772828	5524590
DE-NW	25841841	13283945	12660011
DE-RP	5654271	2919538	2746773
DE-SH	4258970	2160388	2090441
DE-SL	1461128	747446	724808
DE-SN	4719326	2405651	2318952
DE-ST	2760887	1416842	1384498
DE-TH	2624701	1324730	1295255
