code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3058763	1591621	1532374
DE-BE	5022131	2534844	2446242
DE-BUND	371716	193579	185581
DE-BW	14449453	7397810	7205033
DE-BY	17053715	8724166	8485497
DE-HB	1063168	551413	531781
DE-HE	8406882	4351434	4143296
DE-HH	2654401	1372744	1329311
DE-MV	2100494	1081949	1048807
DE-NI	10970336	5750020	5481563
DE-NW	25546145	13236863	12579449
DE-RP	5592101	2909356	2730006
DE-SH	4208615	2151985	2080372
DE-SL	1443623	744851	720217
DE-SN	4645315	2391153	2299555
DE-ST	2724554	1408820	1372897
DE-TH	2576952	1316599	1285643
