code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4183436	1715402	1654334	925850
DE-BE	6901800	2776123	2666471	1585949
DE-BUND	485656	200320	190486	102989
DE-BW	20236152	8018309	7801365	4892711
DE-BY	23757709	9498594	9293612	5468076
DE-HB	1439006	597535	572549	316532
DE-HE	11349259	4690207	4444386	2464886
DE-HH	3520708	1478811	1436370	712480
DE-MV	2881076	1168159	1135971	642592
DE-NI	15317266	6107952	5875890	3765324
DE-NW	34801180	14065744	13423322	8118539
DE-RP	7669739	3094747	2917705	1823693
DE-SH	5728405	2280729	2225078	1357161
DE-SL	2023357	794302	769223	508824
DE-SN	6336631	2582788	2481517	1373260
DE-ST	3705783	1526955	1496846	789689
DE-TH	3562105	1450460	1406930	798330
