code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8993363	5687578	3509382
DE-BY	10372739	6386490	4203943
DE-BE	2985669	1916452	1134332
DE-BB	1966666	1269083	755571
DE-HB	603019	398350	222401
DE-HH	1441234	903787	576957
DE-HE	5019396	3208350	1919924
DE-MV	1374190	848084	556610
DE-NI	6520596	4200967	2551471
DE-NW	15421966	9662576	6210989
DE-RP	3309688	2125571	1264907
DE-SL	905968	542004	384393
DE-SN	3111464	1863955	1304678
DE-ST	1726130	1084284	695371
DE-SH	2506173	1608774	959874
DE-TH	1678360	1060337	647116
