code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3436209	1645804	1578954
DE-BE	5723606	2653885	2548069
DE-BUND	398647	195904	187689
DE-BW	16151543	7673463	7436161
DE-BY	19492343	9110173	8817496
DE-HB	1173592	567516	547060
DE-HE	9315145	4503261	4269598
DE-HH	2946871	1427149	1384842
DE-MV	2365273	1126168	1082629
DE-NI	12266674	5910985	5652053
DE-NW	28466921	13516742	12881183
DE-RP	6212344	2987723	2804955
DE-SH	4698245	2205278	2140993
DE-SL	1627719	767729	740145
DE-SN	5218221	2472031	2368250
DE-ST	3080969	1469605	1423827
DE-TH	2940720	1378013	1334028
