code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4837781	1761367	1645242	1334071
DE-BE	8112422	2909480	2766515	2238584
DE-BUND	534139	201906	189469	142034
DE-BW	23138314	8346316	7935716	6408429
DE-BY	27344263	9846885	9528117	7463585
DE-HB	1698254	617571	577262	440734
DE-HE	13368114	4885196	4533577	3601555
DE-HH	4357973	1600289	1489459	1139747
DE-MV	3392359	1212332	1155590	931775
DE-NI	18103874	6367805	5902700	5158824
DE-NW	40980816	14623184	13615793	11199319
DE-RP	8918521	3216730	2962261	2471109
DE-SH	6967040	2353233	2248809	2125030
DE-SL	2315193	818906	771189	657203
DE-SN	7287257	2670230	2545147	1985254
DE-ST	4424716	1609186	1529733	1208342
DE-TH	4087136	1499586	1422086	1108007
