code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4645379	1752068	1735957	1270297
DE-BE	7638498	2835432	2805388	2128098
DE-BUND	528194	201711	194592	140035
DE-BW	22095895	8188024	8186845	6202586
DE-BY	26154280	9698098	9764193	7197225
DE-HB	1594753	611743	601992	429203
DE-HE	12654523	4810825	4656128	3439174
DE-HH	4011217	1529292	1520993	1069327
DE-MV	3202694	1193275	1189323	886141
DE-NI	16917314	6256987	6169452	4925642
DE-NW	38282453	14370930	14061146	10669786
DE-RP	8402913	3166959	3056349	2347147
DE-SH	6484191	2335692	2334463	1948985
DE-SL	2196270	809479	804227	632127
DE-SN	7015538	2642974	2595755	1878445
DE-ST	4178763	1564340	1582439	1140174
DE-TH	3928308	1482756	1477408	1062654
