code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12881007	6805642	6411746
DE-BY	15067240	7997920	7418328
DE-BE	4328250	2322139	2098755
DE-BB	2710128	1453637	1338413
DE-HB	927757	495153	465124
DE-HH	2236009	1227119	1072139
DE-HE	7320070	3972439	3532560
DE-MV	1870325	992851	923871
DE-NI	9633624	5292301	4675091
DE-NW	22239114	12041463	10826932
DE-RP	4912263	2654200	2380911
DE-SL	1270799	688561	616885
DE-SN	4143955	2186818	2039409
DE-ST	2415791	1292609	1204481
DE-SH	3655719	1978525	1783900
DE-TH	2307283	1215454	1146436
