code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12987419	6848574	6483872
DE-BY	15204800	8041146	7519598
DE-BE	4377511	2340295	2131562
DE-BB	2739246	1465659	1357383
DE-HB	936231	499761	469817
DE-HH	2270368	1237339	1098433
DE-HE	7398772	3998363	3588705
DE-MV	1890747	1001623	937000
DE-NI	9768666	5326201	4782522
DE-NW	22513534	12137554	11015933
DE-RP	4957769	2672840	2410272
DE-SL	1285946	693072	628371
DE-SN	4174450	2199662	2058339
DE-ST	2445328	1303906	1225294
DE-SH	3710787	2000452	1820141
DE-TH	2323043	1220111	1158545
