code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10942461	6391431	4810495
DE-BY	12725714	7475823	5528532
DE-BE	3631903	2129521	1579997
DE-BB	2305898	1366518	1008622
DE-HB	758106	463562	318495
DE-HH	1818927	1099037	769617
DE-HE	6191001	3648546	2690101
DE-MV	1618583	929665	726051
DE-NI	7944696	4895759	3320111
DE-NW	19033913	11145626	8428500
DE-RP	4120804	2452181	1773943
DE-SL	1075700	628711	472715
DE-SN	3623594	2039622	1651216
DE-ST	2065619	1206127	922368
DE-SH	3046206	1810001	1320633
DE-TH	2002675	1145572	897642
