code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11661054	6530923	5412218
DE-BY	13420990	7667534	6056059
DE-BE	3863576	2189778	1755440
DE-BB	2461440	1390150	1143631
DE-HB	824826	473639	378116
DE-HH	1938220	1144004	847216
DE-HE	6634711	3780788	3014528
DE-MV	1697718	948589	788669
DE-NI	8604374	5077979	3820784
DE-NW	20040962	11470681	9138516
DE-RP	4423517	2533137	2000458
DE-SL	1143839	652893	518323
DE-SN	3847798	2092369	1827231
DE-ST	2205912	1238348	1036098
DE-SH	3237290	1864076	1464075
DE-TH	2136511	1169862	1010684
