code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4848834	1761742	1646081	1337397
DE-BE	8138082	2910508	2768332	2246990
DE-BUND	534525	201923	189490	142244
DE-BW	23178765	8348736	7939453	6417905
DE-BY	27395199	9848649	9532301	7478158
DE-HB	1704304	617803	577674	441999
DE-HE	13404737	4886417	4535662	3608544
DE-HH	4371055	1600810	1490457	1142653
DE-MV	3401804	1212603	1156193	934164
DE-NI	18155480	6369418	5905626	5168038
DE-NW	41111155	14626321	13622241	11223197
DE-RP	8942414	3217606	2963575	2477058
DE-SH	6988554	2353725	2249805	2130038
DE-SL	2320180	819041	771501	658288
DE-SN	7300123	2670987	2546415	1990042
DE-ST	4434846	1609555	1530560	1211677
DE-TH	4093669	1499910	1422696	1110515
