code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3684983	1673371	1596345	525869
DE-BE	6168704	2707563	2616100	969467
DE-BUND	431080	197361	188361	53479
DE-BW	17584172	7781071	7527337	2742831
DE-BY	21021815	9238741	8954030	3325729
DE-HB	1248890	578097	553134	164294
DE-HE	9999516	4566297	4317599	1361953
DE-HH	3117452	1444501	1400302	377439
DE-MV	2535997	1142875	1094091	364000
DE-NI	13267003	5972934	5708873	2013252
DE-NW	30779657	13716213	13058932	4801994
DE-RP	6721382	3024397	2829946	1031133
DE-SH	5008171	2229028	2159852	753511
DE-SL	1765366	776660	747035	289968
DE-SN	5604048	2510629	2393269	800000
DE-ST	3324058	1496321	1443359	491313
DE-TH	3143779	1406310	1353958	475211
