code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4643071	1751883	1735298	1268823
DE-BE	7633470	2834928	2804331	2124609
DE-BUND	527942	201704	194568	139814
DE-BW	22090141	8187424	8185238	6199014
DE-BY	26145096	9697346	9761841	7191136
DE-HB	1594122	611686	601731	428878
DE-HE	12646266	4809982	4653993	3433894
DE-HH	4002240	1528066	1518786	1063781
DE-MV	3201214	1193147	1188946	885161
DE-NI	16906396	6255975	6166427	4918754
DE-NW	38267021	14368629	14057227	10660548
DE-RP	8395929	3165337	3054523	2343589
DE-SH	6477048	2335366	2333525	1943100
DE-SL	2195428	809146	804037	631806
DE-SN	7010515	2642360	2594361	1875429
DE-ST	4175758	1564047	1581586	1138311
DE-TH	3926740	1482274	1477023	1061939
