code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5057324	3905381	1151943
DE-BY	6113702	4808145	1305557
DE-BE	1644387	1202006	442381
DE-BB	1080622	793152	287470
DE-HB	344690	251505	93185
DE-HH	828054	649674	178380
DE-HE	2855678	2254357	601321
DE-MV	777963	614887	163076
DE-NI	3697162	2960248	736914
DE-NW	8534207	6800267	1733940
DE-RP	1916498	1409704	506794
DE-SL	506473	398362	108111
DE-SN	1850993	1265287	585706
DE-ST	984076	758213	225863
DE-SH	1346925	976447	370478
DE-TH	1017391	699934	317457
