code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6644200	4734898	1979973
DE-BY	7905747	5617485	2358106
DE-BE	2169909	1530039	657337
DE-BB	1424968	977426	461668
DE-HB	451601	311480	148836
DE-HH	1077671	760634	325565
DE-HE	3715120	2726033	1014654
DE-MV	992173	711674	289455
DE-NI	4735789	3500916	1303278
DE-NW	11354179	8273350	3176498
DE-RP	2470597	1697169	790008
DE-SL	663967	458946	208863
DE-SN	2400470	1555128	865223
DE-ST	1275941	903523	387642
DE-SH	1820373	1258791	580279
DE-TH	1289515	876005	420697
