code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3294124	1626073	1567532
DE-BE	5488942	2620248	2526217
DE-BUND	383452	194512	186914
DE-BW	15423925	7573673	7374144
DE-BY	18593935	9002287	8735439
DE-HB	1140738	562167	543820
DE-HE	8990268	4456366	4241211
DE-HH	2849740	1410015	1371419
DE-MV	2268129	1110893	1074567
DE-NI	11800947	5856585	5613946
DE-NW	27360951	13447374	12839276
DE-RP	5959867	2957266	2786901
DE-SH	4476709	2187755	2113925
DE-SL	1560311	760872	735840
DE-SN	5003436	2445570	2351898
DE-ST	2953901	1450062	1412725
DE-TH	2826653	1356545	1320902
