code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12202897	6634127	5869914
DE-BY	14023573	7788968	6551669
DE-BE	4017825	2232388	1870282
DE-BB	2564483	1407282	1231364
DE-HB	865059	480662	413629
DE-HH	2020809	1173639	902805
DE-HE	6898811	3858703	3208837
DE-MV	1754245	961967	833843
DE-NI	8998432	5159825	4143870
DE-NW	20690187	11645047	9629337
DE-RP	4611360	2578414	2146751
DE-SL	1188393	667281	550180
DE-SN	3968693	2121806	1922051
DE-ST	2287578	1257296	1103083
DE-SH	3402307	1904934	1593299
DE-TH	2216206	1185705	1077025
