code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3004945	1576239	1508432
DE-BE	4900744	2506923	2405901
DE-BUND	370306	193173	184976
DE-BW	14174420	7328255	7084795
DE-BY	16655013	8620326	8319792
DE-HB	1040508	545824	522454
DE-HE	8255562	4313432	4078248
DE-HH	2583147	1351746	1297627
DE-MV	2056880	1069555	1030869
DE-NI	10787319	5712142	5415754
DE-NW	25082704	13136562	12393333
DE-RP	5491803	2886340	2688341
DE-SH	4123228	2133781	2050878
DE-SL	1420271	738966	711374
DE-SN	4573617	2370615	2268455
DE-ST	2682425	1397649	1353499
DE-TH	2522770	1301178	1265448
