code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3028201	1583517	1519228
DE-BE	4970933	2525742	2430575
DE-BUND	371105	193430	185298
DE-BW	14336528	7371757	7160229
DE-BY	16896023	8690064	8427153
DE-HB	1053971	549589	528246
DE-HE	8335423	4337418	4114243
DE-HH	2629997	1367067	1319942
DE-MV	2082533	1077424	1042376
DE-NI	10888821	5736210	5455631
DE-NW	25323109	13193667	12496924
DE-RP	5545080	2900847	2711671
DE-SH	4169686	2144227	2068857
DE-SL	1434088	742973	716945
DE-SN	4616318	2383990	2287982
DE-ST	2712252	1405864	1368023
DE-TH	2556285	1311934	1279378
