code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4870496	1720934	1629613	1395876
DE-BE	8204698	2889537	2754633	2301936
DE-BUND	535332	201944	189536	142642
DE-BW	23684312	8397766	7995185	6735526
DE-BY	27841587	9895094	9587245	7702965
DE-HB	1732013	619881	580061	449238
DE-HE	13741740	4926255	4570401	3790038
DE-HH	4479967	1604092	1498001	1214977
DE-MV	3450896	1217336	1160403	957650
DE-NI	18509205	6395326	5938468	5323754
DE-NW	41892157	14638785	13662166	11682526
DE-RP	9130610	3237050	2980160	2584157
DE-SH	7073389	2353723	2250008	2031375
DE-SL	2355949	822207	774406	676293
DE-SN	7356679	2676595	2551191	2015151
DE-ST	4502049	1617994	1533631	1247105
DE-TH	4139927	1506738	1429615	1129365
