code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6753762	4786412	2044734
DE-BY	8052216	5675164	2455806
DE-BE	2210760	1555701	675193
DE-BB	1457684	994976	480087
DE-HB	459824	316518	152595
DE-HH	1097419	767308	340187
DE-HE	3779655	2761144	1050047
DE-MV	1013259	720362	303096
DE-NI	4814244	3537511	1353570
DE-NW	11635650	8408316	3356021
DE-RP	2518687	1724350	815258
DE-SL	678542	465633	218014
DE-SN	2438361	1576969	883649
DE-ST	1303242	916861	403695
DE-SH	1861549	1285104	598082
DE-TH	1311967	891230	429230
