code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4807153	1760414	1643288	1325713
DE-BE	8054998	2907144	2761974	2220518
DE-BUND	533513	201886	189401	141606
DE-BW	23036397	8342319	7928424	6386848
DE-BY	27214463	9843522	9518876	7428916
DE-HB	1685832	617208	576500	438150
DE-HE	13274139	4882830	4528635	3585714
DE-HH	4323317	1598512	1486114	1130945
DE-MV	3362194	1211784	1154354	926711
DE-NI	17965673	6364861	5896059	5134676
DE-NW	40630428	14612727	13596777	11134997
DE-RP	8825859	3210547	2955821	2439308
DE-SH	6864694	2351707	2245212	2107341
DE-SL	2301462	818635	770531	654278
DE-SN	7253318	2668764	2542117	1972214
DE-ST	4398256	1608558	1528198	1199996
DE-TH	4069642	1499281	1420612	1101633
