code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4695124	1756627	1745902	1305622
DE-BE	7709394	2844597	2820740	2174686
DE-BUND	530735	201997	194948	141934
DE-BW	22270548	8209718	8228929	6314052
DE-BY	26387152	9723697	9817547	7351429
DE-HB	1610203	614140	606007	438338
DE-HE	12807568	4829006	4690568	3540218
DE-HH	4072608	1538974	1537097	1105311
DE-MV	3239992	1197241	1197674	911221
DE-NI	17108189	6278318	6210545	5054437
DE-NW	38697449	14413571	14146556	10958144
DE-RP	8493747	3178509	3078614	2404284
DE-SH	6642454	2341964	2349429	2086203
DE-SL	2217710	811244	809053	647008
DE-SN	7104217	2651731	2615007	1939179
DE-ST	4233369	1569021	1594899	1177654
DE-TH	3974022	1488041	1488508	1092124
