code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11573061	6515255	5337519
DE-BY	13329220	7646134	5983347
DE-BE	3839266	2182701	1737808
DE-BB	2448849	1387594	1133307
DE-HB	817916	472211	372156
DE-HH	1926172	1140424	838336
DE-HE	6587073	3767708	2979096
DE-MV	1688183	945895	781482
DE-NI	8530004	5059154	3763406
DE-NW	19925593	11440376	9051220
DE-RP	4390232	2524530	1975274
DE-SL	1135515	650645	512070
DE-SN	3819167	2086962	1803490
DE-ST	2187506	1234503	1021056
DE-SH	3228294	1860368	1458508
DE-TH	2120043	1166106	997646
