code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8527029	5494421	3212384
DE-BY	9837059	6177075	3854147
DE-BE	2822160	1855543	1024912
DE-BB	1877598	1231813	698638
DE-HB	575859	383268	209413
DE-HH	1361802	873325	523898
DE-HE	4748199	3121370	1722694
DE-MV	1316371	828918	514926
DE-NI	6188256	4082805	2317799
DE-NW	14647699	9426864	5624225
DE-RP	3161916	2054123	1178226
DE-SL	860684	527980	350759
DE-SN	2979887	1820496	1213501
DE-ST	1642917	1052612	639926
DE-SH	2386592	1557942	886168
DE-TH	1609630	1024308	612519
