code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3007894	1577227	1509821
DE-BE	4905206	2508108	2407529
DE-BUND	370389	193201	185017
DE-BW	14197137	7334203	7096134
DE-BY	16688857	8630510	8336619
DE-HB	1043007	546456	523615
DE-HE	8266128	4316813	4083066
DE-HH	2589507	1354419	1300678
DE-MV	2060979	1070979	1033154
DE-NI	10803271	5716304	5422862
DE-NW	25113907	13144907	12406949
DE-RP	5499419	2888590	2691565
DE-SH	4128359	2135284	2053172
DE-SL	1422835	739745	712504
DE-SN	4580891	2372724	2272118
DE-ST	2687433	1399083	1356200
DE-TH	2526822	1302537	1267271
