code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11853409	6571774	5572699
DE-BY	13614235	7716354	6206867
DE-BE	3928365	2208722	1802440
DE-BB	2508303	1395334	1186113
DE-HB	840030	476192	391615
DE-HH	1961849	1154278	861859
DE-HE	6735910	3813018	3086738
DE-MV	1714768	952650	802442
DE-NI	8737526	5110286	3925659
DE-NW	20256635	11538688	9292337
DE-RP	4487199	2550675	2048401
DE-SL	1158793	658233	528260
DE-SN	3896169	2103554	1865796
DE-ST	2234056	1245369	1059223
DE-SH	3303143	1882410	1513974
DE-TH	2171508	1176282	1040625
