code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4472955	1737811	1697537	1150130
DE-BE	7347208	2811115	2735070	1928935
DE-BUND	517567	201215	193237	131256
DE-BW	21400488	8122272	8004641	5752508
DE-BY	25199631	9620406	9541455	6541921
DE-HB	1537478	605927	587501	392058
DE-HE	12158480	4766802	4548595	3094661
DE-HH	3779930	1499919	1465939	921816
DE-MV	3078046	1182868	1163434	797598
DE-NI	16264889	6193003	6015573	4489429
DE-NW	36898888	14249318	13759085	9706126
DE-RP	8117152	3138811	2985049	2160208
DE-SH	6171503	2311831	2276718	1717691
DE-SL	2130625	803813	786414	589614
DE-SN	6732957	2618843	2534457	1680981
DE-ST	3980703	1548079	1540327	1000298
DE-TH	3775359	1468584	1439905	960986
