code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5851511	4355653	1519490
DE-BY	7045955	5337153	1719456
DE-BE	1905602	1363176	546179
DE-BB	1244898	881221	365638
DE-HB	396334	279797	119732
DE-HH	945373	704026	242658
DE-HE	3269970	2514190	756965
DE-MV	880124	670549	212118
DE-NI	4228950	3282334	972579
DE-NW	9840473	7571138	2277489
DE-RP	2189467	1564946	624521
DE-SL	585048	433068	152014
DE-SN	2113586	1410169	706943
DE-ST	1127084	837830	293792
DE-SH	1502348	1060187	448955
DE-TH	1142687	784600	358233
