code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4717472	1758390	1750127	1322001
DE-BE	7760337	2852179	2830470	2208365
DE-BUND	531734	202079	195076	142724
DE-BW	22359499	8221444	8251012	6369375
DE-BY	26498447	9734088	9841423	7428556
DE-HB	1618993	615077	607866	444336
DE-HE	12876716	4836366	4703939	3588685
DE-HH	4103729	1543804	1542926	1125851
DE-MV	3258684	1198798	1201401	924660
DE-NI	17189272	6286172	6228800	5109485
DE-NW	38887269	14433995	14183306	11091400
DE-RP	8531482	3182244	3085950	2431016
DE-SH	6670490	2344150	2354783	2106724
DE-SL	2226127	811937	810638	653152
DE-SN	7144811	2655125	2623064	1968365
DE-ST	4257167	1570948	1599978	1194473
DE-TH	3991873	1489640	1492736	1104189
