code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3485634	1652070	1581990	360291
DE-BE	5808701	2661630	2554859	714268
DE-BUND	400473	196016	187729	24846
DE-BW	16479789	7703833	7456103	1780866
DE-BY	19843022	9144318	8848652	2341057
DE-HB	1187085	569790	548300	115099
DE-HE	9444350	4515769	4278007	894009
DE-HH	2983792	1432245	1389021	265158
DE-MV	2398813	1130743	1084709	247834
DE-NI	12451877	5926064	5663118	1286291
DE-NW	29077204	13609089	12960760	3297801
DE-RP	6298030	2994786	2809053	656369
DE-SH	4752184	2209523	2143477	532846
DE-SL	1654603	769650	741235	191339
DE-SN	5289815	2479583	2372635	536646
DE-ST	3122413	1474728	1426827	326497
DE-TH	2978981	1385584	1339756	343117
