code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3713300	1676336	1598576	549121
DE-BE	6223336	2712988	2622181	1012895
DE-BUND	438213	197642	188503	60189
DE-BW	17768682	7800441	7545612	2891093
DE-BY	21220218	9259192	8976388	3482229
DE-HB	1259122	579989	554264	171698
DE-HE	10098724	4574271	4325070	1446132
DE-HH	3140080	1445941	1402385	396695
DE-MV	2561283	1146111	1096375	383874
DE-NI	13417526	5985070	5720590	2140889
DE-NW	30992291	13730789	13074095	4985884
DE-RP	6793207	3030320	2835522	1092113
DE-SH	5041595	2231171	2162551	782133
DE-SL	1781504	777652	748145	304100
DE-SN	5663905	2516207	2397618	850014
DE-ST	3355227	1498385	1446302	517576
DE-TH	3173780	1409631	1356575	499399
