code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4051481	1705779	1632625	825065
DE-BE	6671902	2756320	2628677	1413005
DE-BUND	473113	198916	189590	92741
DE-BW	19662771	7970541	7728425	4438662
DE-BY	23167169	9446486	9199044	5023681
DE-HB	1382893	593049	565120	272077
DE-HE	11020198	4660325	4406694	2202941
DE-HH	3402508	1469885	1426338	612724
DE-MV	2782346	1162087	1121045	564713
DE-NI	14847802	6075725	5825468	3377948
DE-NW	33904157	13983301	13305210	7420077
DE-RP	7426839	3076644	2885476	1630491
DE-SH	5517424	2267110	2198703	1186178
DE-SL	1951684	789501	760712	450297
DE-SN	6144671	2565660	2451533	1228255
DE-ST	3622150	1520113	1482243	727391
DE-TH	3440735	1441303	1386731	706083
