code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4714240	1758180	1749563	1319543
DE-BE	7748824	2848940	2828980	2201575
DE-BUND	531467	202060	195041	142511
DE-BW	22345496	8219476	8247701	6360633
DE-BY	26480745	9732544	9837309	7416488
DE-HB	1617360	614902	607518	443226
DE-HE	12868371	4835543	4702232	3582860
DE-HH	4098538	1543111	1541840	1122420
DE-MV	3255502	1198572	1200764	922335
DE-NI	17174730	6284825	6225732	5099348
DE-NW	38859292	14431500	14178303	11070885
DE-RP	8527082	3181820	3085039	2427951
DE-SH	6667520	2343924	2354181	2104581
DE-SL	2224914	811843	810401	652270
DE-SN	7139021	2654657	2621775	1964323
DE-ST	4252551	1570604	1599053	1191121
DE-TH	3989526	1489521	1492229	1102457
