code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3650210	1670075	1594287	496209
DE-BE	6070400	2699119	2606040	889136
DE-BUND	426999	197219	188276	49625
DE-BW	17240829	7760347	7508559	2437485
DE-BY	20718454	9215326	8926142	3072419
DE-HB	1230623	576051	551913	149176
DE-HE	9826427	4552545	4308256	1211370
DE-HH	3084706	1442076	1397867	349073
DE-MV	2509365	1140628	1092162	341477
DE-NI	13048184	5963504	5698972	1812421
DE-NW	30316216	13692270	13036180	4383590
DE-RP	6591654	3017475	2825043	912839
DE-SH	4953063	2225093	2157605	704489
DE-SL	1735248	774925	745549	262970
DE-SN	5526581	2503155	2388589	734600
DE-ST	3284669	1492856	1440348	458218
DE-TH	3105596	1400430	1349115	446552
