code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4619003	1750098	1729214	1252559
DE-BE	7597253	2832164	2794600	2100836
DE-BUND	526818	201628	194392	138942
DE-BW	21994163	8178993	8155322	6141102
DE-BY	26026243	9687878	9727217	7116264
DE-HB	1587191	610909	599064	425361
DE-HE	12592855	4809073	4639282	3396388
DE-HH	3935093	1516280	1500850	1026168
DE-MV	3182009	1191780	1183525	872716
DE-NI	16813187	6248703	6140403	4858571
DE-NW	38078206	14353057	14011289	10532659
DE-RP	8361037	3162121	3044867	2321164
DE-SH	6415358	2332492	2321521	1896277
DE-SL	2187192	808570	801562	626588
DE-SN	6977634	2639863	2585594	1853784
DE-ST	4150017	1562005	1574984	1121200
DE-TH	3905069	1480556	1470733	1048216
