code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4846276	1761653	1645886	1336722
DE-BE	8132739	2910322	2768090	2245226
DE-BUND	534397	201914	189482	142190
DE-BW	23173042	8348324	7938903	6416616
DE-BY	27387015	9848357	9531643	7475923
DE-HB	1702992	617774	577598	441737
DE-HE	13396293	4886146	4535179	3607059
DE-HH	4367870	1600701	1490238	1141993
DE-MV	3399828	1212549	1156092	933687
DE-NI	18144384	6369185	5905114	5166172
DE-NW	41083272	14625759	13620917	11218378
DE-RP	8937807	3217462	2963405	2476177
DE-SH	6983836	2353645	2249628	2129240
DE-SL	2319215	819020	771443	658104
DE-SN	7297312	2670893	2546204	1989018
DE-ST	4432282	1609466	1530348	1210903
DE-TH	4091888	1499833	1422563	1109571
