code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8863643	5631855	3431274
DE-BY	10192572	6317516	4087654
DE-BE	2936047	1898578	1101084
DE-BB	1936520	1259622	733468
DE-HB	594553	394470	217628
DE-HH	1419460	896349	561530
DE-HE	4939875	3182061	1864258
DE-MV	1356063	842135	544046
DE-NI	6413512	4163065	2478690
DE-NW	15190632	9589714	6044168
DE-RP	3259073	2104049	1234361
DE-SL	891685	537323	374237
DE-SN	3073917	1850975	1279366
DE-ST	1695210	1072921	675217
DE-SH	2469465	1593753	936808
DE-TH	1657338	1051853	634084
