code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4696099	1756687	1746090	1306350
DE-BE	7711678	2844841	2821382	2176090
DE-BUND	530735	201997	194948	141934
DE-BW	22275927	8210398	8230491	6317199
DE-BY	26393262	9724482	9819111	7355196
DE-HB	1610525	614176	606120	438511
DE-HE	12810023	4829201	4691222	3541830
DE-HH	4073189	1539044	1537286	1105636
DE-MV	3240145	1197257	1197726	911306
DE-NI	17110171	6278539	6211225	5055518
DE-NW	38705718	14414418	14148165	10963960
DE-RP	8494769	3178614	3078920	2404895
DE-SH	6645148	2342202	2350137	2087951
DE-SL	2218203	811277	809153	647368
DE-SN	7104570	2651781	2615099	1939390
DE-ST	4233891	1569089	1595070	1177937
DE-TH	3974797	1488143	1489042	1092264
