code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4855472	1761986	1646591	1339430
DE-BE	8152844	2911785	2769916	2250731
DE-BUND	534605	201927	189497	142289
DE-BW	23192093	8349995	7940978	6421008
DE-BY	27416485	9849397	9534026	7483892
DE-HB	1708721	617924	577873	442711
DE-HE	13421523	4886986	4536568	3611561
DE-HH	4378175	1600992	1490919	1144449
DE-MV	3407906	1212784	1156559	935639
DE-NI	18189944	6370285	5907292	5173306
DE-NW	41169762	14627731	13625010	11234056
DE-RP	8952015	3217897	2964086	2479123
DE-SH	7004807	2354094	2250502	2133060
DE-SL	2322364	819111	771624	658763
DE-SN	7308059	2671415	2547339	1992713
DE-ST	4441851	1609759	1531068	1214196
DE-TH	4096316	1499987	1422857	1111425
