code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4807333	3733109	1074224
DE-BY	5822947	4580940	1242007
DE-BE	1568820	1144475	424345
DE-BB	1027110	759468	267642
DE-HB	329573	241707	87866
DE-HH	795322	626907	168415
DE-HE	2711174	2145081	566093
DE-MV	738381	588299	150082
DE-NI	3523625	2836704	686921
DE-NW	8144001	6513730	1630271
DE-RP	1827901	1347509	480392
DE-SL	482446	381473	100973
DE-SN	1770726	1212974	557752
DE-ST	956506	737063	219443
DE-SH	1273869	927333	346536
DE-TH	972038	665463	306575
