code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3022341	1581638	1516614
DE-BE	4951255	2521187	2423828
DE-BUND	371009	193400	185270
DE-BW	14295970	7360138	7142125
DE-BY	16823246	8669190	8394683
DE-HB	1051033	548791	527060
DE-HE	8314581	4330724	4105523
DE-HH	2612415	1361073	1311637
DE-MV	2075747	1075399	1039719
DE-NI	10866023	5731139	5447693
DE-NW	25263545	13179964	12472722
DE-RP	5532194	2897569	2705832
DE-SH	4159226	2141489	2065068
DE-SL	1430657	741936	715664
DE-SN	4605919	2380513	2283486
DE-ST	2706473	1404128	1365605
DE-TH	2549680	1309740	1276880
