code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4852507	1720381	1628726	1391700
DE-BE	8160973	2887837	2751703	2291118
DE-BUND	534847	201934	189509	142402
DE-BW	23597432	8392681	7989150	6719075
DE-BY	27727063	9892116	9581985	7682024
DE-HB	1719412	619595	579490	447381
DE-HE	13673395	4923070	4566941	3778442
DE-HH	4455088	1602376	1495732	1208979
DE-MV	3438357	1216930	1159745	955212
DE-NI	18407273	6393368	5935102	5310289
DE-NW	41692624	14634331	13655350	11653877
DE-RP	9092885	3236025	2978782	2578364
DE-SH	7034341	2353072	2248615	2026463
DE-SL	2346224	822011	774050	674954
DE-SN	7334741	2675605	2549413	2008802
DE-ST	4482562	1617331	1532471	1241899
DE-TH	4126773	1506179	1428798	1125630
