code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4200680	1716657	1657100	939096
DE-BE	6930915	2777935	2671122	1608687
DE-BUND	486637	200326	190566	103884
DE-BW	20298456	8023319	7810326	4941296
DE-BY	23842790	9503705	9308528	5533224
DE-HB	1446191	598171	573590	322082
DE-HE	11395327	4694094	4450002	2501492
DE-HH	3536572	1479530	1437357	726681
DE-MV	2895821	1169025	1138150	654296
DE-NI	15388444	6112654	5885020	3822712
DE-NW	34973968	14082499	13452704	8245584
DE-RP	7711596	3100076	2922886	1855234
DE-SH	5754281	2281915	2227518	1379419
DE-SL	2031594	794858	770257	515500
DE-SN	6362462	2585245	2485287	1392893
DE-ST	3720244	1528020	1499615	800341
DE-TH	3574486	1451518	1408991	807622
