code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4703700	1757391	1747609	1311738
DE-BE	7724489	2846208	2823834	2185087
DE-BUND	531021	202025	194994	142146
DE-BW	22302235	8213104	8236092	6335254
DE-BY	26431255	9728206	9826799	7381806
DE-HB	1613486	614537	606762	440473
DE-HE	12838050	4832339	4696554	3561406
DE-HH	4082806	1540079	1539384	1112148
DE-MV	3246904	1197866	1199312	915880
DE-NI	17143217	6281620	6219331	5077402
DE-NW	38768978	14421708	14161124	11007229
DE-RP	8508454	3179942	3081965	2414216
DE-SH	6654549	2343017	2351957	2094725
DE-SL	2220976	811554	809724	649296
DE-SN	7120531	2653236	2618223	1950789
DE-ST	4242026	1569882	1596933	1183427
DE-TH	3980853	1488708	1490265	1096538
