code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4418915	1733058	1688631	1109698
DE-BE	7252020	2802671	2719241	1857648
DE-BUND	512470	201035	192785	126791
DE-BW	21182997	8100137	7961684	5599621
DE-BY	24923278	9594993	9490834	6341340
DE-HB	1519424	604056	584431	378878
DE-HE	12003081	4750501	4526128	2977919
DE-HH	3731955	1494639	1458496	886395
DE-MV	3046276	1180044	1158570	773475
DE-NI	16090001	6173543	5985633	4363710
DE-NW	36480251	14212762	13684104	9397559
DE-RP	8037226	3129875	2971677	2102530
DE-SH	6069919	2303575	2263965	1637061
DE-SL	2111661	802075	782294	576480
DE-SN	6661162	2612227	2523876	1626330
DE-ST	3932399	1544127	1532684	963553
DE-TH	3736596	1465329	1432377	932938
