code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3221680	1616123	1560763
DE-BE	5383867	2603674	2516289
DE-BUND	377382	194183	186553
DE-BW	15146529	7528769	7342569
DE-BY	18159012	8943917	8695109
DE-HB	1123021	558942	541811
DE-HE	8836052	4430348	4224259
DE-HH	2803078	1401315	1364670
DE-MV	2218299	1101541	1069448
DE-NI	11572798	5825008	5590316
DE-NW	26822238	13400687	12801397
DE-RP	5852654	2944440	2776852
DE-SH	4399751	2178190	2107464
DE-SL	1525706	755759	732668
DE-SN	4898412	2431862	2342550
DE-ST	2879048	1435784	1404147
DE-TH	2764458	1346532	1314647
