code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10771410	6353650	4672389
DE-BY	12564009	7418063	5419056
DE-BE	3554371	2111826	1519023
DE-BB	2270965	1360347	978739
DE-HB	742256	460588	305283
DE-HH	1790397	1081119	758341
DE-HE	6083854	3615608	2612858
DE-MV	1599567	924923	711250
DE-NI	7808115	4845808	3229997
DE-NW	18772880	11044235	8263143
DE-RP	4036991	2432648	1707661
DE-SL	1056333	619776	461849
DE-SN	3579910	2027390	1618750
DE-ST	2029894	1196719	894593
DE-SH	3005760	1798860	1288577
DE-TH	1971814	1141725	870050
