code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4169770	1713692	1652017	916196
DE-BE	6858607	2772944	2658700	1553613
DE-BUND	485651	200322	190488	102980
DE-BW	20129092	8006778	7782729	4815558
DE-BY	23660685	9489307	9274549	5399357
DE-HB	1428197	596881	571149	307762
DE-HE	11304838	4685646	4439421	2429930
DE-HH	3495178	1476497	1435013	690537
DE-MV	2873958	1167645	1135164	636740
DE-NI	15264232	6103621	5870121	3722334
DE-NW	34681623	14054057	13403838	8029734
DE-RP	7643858	3092921	2914740	1802585
DE-SH	5675292	2277903	2216882	1315065
DE-SL	2011919	793550	767789	499539
DE-SN	6313473	2579828	2477943	1356628
DE-ST	3696385	1526275	1494405	783407
DE-TH	3542036	1449566	1403352	782699
